Node,Strength,First Author Score,Team Score,Last Author Score
"('GBIF:44', 'Chordata')",1132,-0.06962025316455696,-0.31084376298830935,-0.42857142857142855
"('GBIF:54', 'Arthropoda')",1014,0.015492957746478873,-0.2562300384296173,-0.4183098591549296
"('GBIF:7707728', 'Tracheophyta')",992,-0.07683982683982683,-0.27238698590029786,-0.33874458874458874
"('GBIF:52', 'Mollusca')",302,0.046875,-0.2148374215477727,-0.28125
"('GBIF:95', 'Ascomycota')",138,0.06666666666666667,-0.21419733044733044,-0.18333333333333332
"('GBIF:98', 'Ochrophyta')",70,-0.25,-0.3434734247234248,-0.2222222222222222
"('GBIF:43', 'Cnidaria')",68,0.08333333333333333,-0.151849847683181,-0.2777777777777778
"('GBIF:111', 'Proteobacteria')",62,0.3888888888888889,-0.34229370166870166,-0.6666666666666666
"('GBIF:50', 'Echinodermata')",58,0.5454545454545454,-0.24929653679653677,-0.6363636363636364
"('GBIF:42', 'Annelida')",54,-0.6111111111111112,-0.5463898241676018,-0.1111111111111111
